Age,Sleep_Hours,Screen_Time,Stress_Level,Noise_Exposure,Social_Interaction,Work_Hours,Exercise_Hours,Caffeine_Intake,Multitasking_Habit,Anxiety_Score,Depression_Score,Sensory_Sensitivity,Meditation_Habit,Overthinking_Score,Irritability_Score,Headache_Frequency,Sleep_Quality,Tech_Usage_Hours,Heart_Rate,Overstimulated
25.0,8.66953205,1.393073273,6,1.195554345,6.826367079,9.415021921,2.193697863,3.0,1.0,1,4.0,-0.586859115,1.0,4.0,3.595327549,2.0,0.387995216,6.278259229,78.85875981,0
28.0,7.827194685,0.000757219,9,1.309133334,2.86252937,-0.599858885,0.488634105,1.0,1.0,4,4.0,2.244599266,0.0,7.0,8.595327549,4.0,2.553360056,-0.9860333,78.94095024,0
28.0,9.508760646,7.9126399979999995,4,3.633790304,6.414134055,3.683534214,1.385945591,1.0,0.0,3,1.0,1.388987088,0.0,1.0,7.595327549,4.0,3.734029617,7.326594103,74.9016793,0
20.0,7.234201776,0.92731895,2,0.125390398,3.905967924,8.119267189,0.583204346,2.0,0.0,4,6.0,0.276100748,1.0,4.0,6.404672451,5.0,3.338629154,0.348053644,80.29091002,0
19.0,9.936242746,9.788848602,11,5.318014652,6.279539049,14.9399172,2.268603825,2.0,1.0,8,9.0,2.278267606,1.0,7.0,4.405812381,2.0,0.014156795,5.881821008,91.34540008,1
19.0,6.500292893,1.853550176,4,4.468761778,3.168422824,5.44110914,2.325065955,4.0,0.0,4,8.0,1.350182919,1.0,8.0,9.404672451,4.0,5.343883262,4.872575373,76.2024768,0
29.0,4.203353387,4.41254472,2,1.752577606,-2.977520711,4.207845653,3.047613838,2.0,0.0,10,4.0,3.382533494,0.0,3.0,6.595327549,0.0,4.298814921,5.091057939,64.22813147,0
20.0,4.460211364,11.9921819,5,2.928149872,4.585318406,7.935388303,0.720684648,1.0,1.0,4,1.0,0.550298933,0.0,1.0,2.594187619,4.0,-0.112034472,10.51890508,80.08121603,1
24.0,6.356373282,3.186893062,-1,-0.408547386,0.250210679,7.796415981,1.011215105,2.0,0.0,5,2.0,1.257980234,1.0,9.0,5.595327549,1.0,2.221169402,6.421934408,65.84427299,0
26.0,7.814216717,14.50560304,5,3.012047865,5.173915184,6.949562602,1.18394433,1.0,0.0,6,9.0,2.154668084,0.0,7.0,5.405812381,3.0,2.083997505,2.618473561,70.74044945,1
21.0,2.319761591,8.104986583,9,1.824106073,8.926430192,8.280973579,1.44673958,4.0,0.0,4,6.0,2.156992738,0.0,9.0,3.405812381,6.0,2.0141354,11.19904721,104.8824772,1
26.0,5.871323548,11.27760838,6,3.116642068,8.422427082,10.35209588,-0.301467762,3.0,0.0,6,9.0,3.560866098,1.0,6.0,3.405812381,2.0,3.490141838,10.90238901,78.76923553,1
19.0,2.986802689,9.218240611,2,5.894862369,4.244065201,16.54249031,-0.117586799,4.0,1.0,9,9.0,5.11933689,1.0,9.0,9.405812381,4.0,2.098272679,9.061604922,72.61016989,1
24.0,7.25685059,11.93656287,11,3.51716993,6.780842929,11.06233623,2.769693114,2.0,0.0,4,7.0,0.84866498,1.0,5.0,5.405812381,6.0,1.823475126,7.756124281,91.8474438,1
25.0,8.350721387,4.997251069,3,2.376128983,0.670792499,10.85742035,3.526455515,3.0,0.0,5,5.0,0.985348434,1.0,4.0,1.595327549,5.0,2.117901282,4.313753621,71.87760223,0
21.0,5.25248013,14.64646307,6,2.04060444,11.48102417,13.70910747,-0.408242675,2.0,1.0,7,5.0,4.726333578,1.0,2.0,2.594187619,0.0,-0.978321647,9.07871539,86.99279699,1
19.0,9.356964132,0.854115526,-1,3.410333108,2.588983841,8.93383089,2.382675272,1.0,1.0,-1,7.0,-0.204833747,1.0,5.0,9.404672451,1.0,4.27678689,1.044449008,66.00864352,0
23.0,2.275749891,8.801571253,9,2.914677316,9.975738032,7.085822059,1.65910918,1.0,0.0,5,8.0,1.231853172,0.0,3.0,1.405812381,0.0,2.234016696,2.240343308,83.52653612,1
21.0,9.455577572,5.687740715,0,-0.141915961,-1.32147043,8.144839395,1.789766771,0.0,0.0,7,5.0,2.839658658,1.0,8.0,1.595327549,6.0,3.200406439,2.276336828,71.17952675,0
27.0,7.24818805,10.25539986,5,5.031773587,6.413954488,11.94219913,1.69912818,1.0,0.0,9,5.0,2.611959206,0.0,4.0,5.594187619,3.0,2.659503122,7.33458678,84.35473604,1
25.0,2.099957709,6.244472923,9,1.143562731,3.789899947,6.63319021,0.219939046,1.0,0.0,2,3.0,5.717715862,1.0,1.0,8.594187619,1.0,0.386356881,13.33551867,102.8433301,1
18.0,7.774834624,12.41156074,6,4.778778935,4.012032018,7.814963212,-0.505892692,4.0,0.0,6,9.0,4.555720584,1.0,8.0,7.405812381,5.0,2.784526738,10.16405973,87.40364319,1
24.0,6.830571467,6.191617096,10,2.384496985,2.5801033,16.76382195,0.401921597,0.0,0.0,11,2.0,2.369558343,1.0,3.0,1.594187619,5.0,-0.313423091,3.933539103,93.06873823,1
26.0,5.74304525,7.4999562,6,1.844378269,6.052027548,11.59488139,1.040447702,0.0,0.0,6,7.0,3.023490217,0.0,5.0,8.405812381,0.0,-0.172512877,5.531350887,74.92215465,1
18.0,6.812939413,0.705328,4,0.655833145,-0.4174887,11.07845032,1.587999961,4.0,0.0,-2,6.0,3.939629007,0.0,8.0,9.404672451,1.0,3.446153036,3.831270426,70.0118419,0
25.0,10.14810562,11.63454419,12,4.263317008,6.405298832,10.37110856,1.626243469,0.0,1.0,7,4.0,2.759425862,0.0,2.0,5.594187619,5.0,1.508112443,5.691920486,86.16138914,1
28.0,5.481919324,3.721493679,10,2.551100776,7.659890004,14.40350459,1.679510199,1.0,0.0,4,4.0,3.612871955,1.0,9.0,8.594187619,5.0,2.932737645,6.945547286,90.36412804,1
25.0,5.075901396,11.56837548,11,4.689666427,1.355335927,13.22893786,1.222307869,1.0,1.0,4,7.0,4.964985767,0.0,4.0,8.405812381,3.0,3.508109608,2.779859148,91.02943482,1
22.0,4.273160484,2.544094758,0,0.247823838,2.426875348,6.485398746,3.387332194,3.0,0.0,1,2.0,-0.650199386,0.0,2.0,0.595327549,5.0,3.584200371,0.064730614,78.07545516,0
24.0,3.761717552,14.07989673,7,-0.227529914,8.397285725,8.764303892,1.491948761,0.0,0.0,7,2.0,4.549332128,0.0,1.0,7.594187619,6.0,2.235171435,7.51717611,88.48137976,1
26.0,3.991187992,2.623830792,10,3.846199332,3.141880247,7.103030674,0.004404395,0.0,1.0,10,4.0,3.861370971,0.0,6.0,8.594187619,3.0,1.836553276,8.754551917,91.56074575,1
